Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,# of Accelerators,# of Nodes,Accelerator,Availability,Host Processor Core Count,Processor,Avg. Result at System Name
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,resnet,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,556234
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,resnet,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,5013.791166667
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,resnet,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,480131
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,retinanet,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,5019.128805237
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,retinanet,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,10802.5
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,retinanet,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,4987.039666667
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,retinanet,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,9602.95
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,stable-diffusion-xl,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,5573.811127596
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,stable-diffusion-xl,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,13.202
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,stable-diffusion-xl,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,5487.744754098
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,stable-diffusion-xl,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,12.708
4.1-0066,UntetherAI,available,Dell PowerEdge R760xa (6x speedAI240 Slim),1,Intel(R) Xeon(R) Gold 6448Y,UntetherAI speedAI240 Slim,6,Inference,resnet,Offline,Watts,,6,1,UntetherAI speedAI240 Slim,available,32,Intel(R) Xeon(R) Gold 6448Y,1021.358974359
4.1-0066,UntetherAI,available,Dell PowerEdge R760xa (6x speedAI240 Slim),1,Intel(R) Xeon(R) Gold 6448Y,UntetherAI speedAI240 Slim,6,Inference,resnet,Offline,Samples/s,,6,1,UntetherAI speedAI240 Slim,available,32,Intel(R) Xeon(R) Gold 6448Y,334462
4.1-0066,UntetherAI,available,Dell PowerEdge R760xa (6x speedAI240 Slim),1,Intel(R) Xeon(R) Gold 6448Y,UntetherAI speedAI240 Slim,6,Inference,resnet,Server,Watts,,6,1,UntetherAI speedAI240 Slim,available,32,Intel(R) Xeon(R) Gold 6448Y,985.519134775
4.1-0066,UntetherAI,available,Dell PowerEdge R760xa (6x speedAI240 Slim),1,Intel(R) Xeon(R) Gold 6448Y,UntetherAI speedAI240 Slim,6,Inference,resnet,Server,Queries/s,,6,1,UntetherAI speedAI240 Slim,available,32,Intel(R) Xeon(R) Gold 6448Y,309752
